Breed,Group
Glen Of Imaal,Terrier
Glen Of Imaal Mix,Terrier
Swedish Vallhund,Herding
Wire Hair Fox Terrier Mix,Terrier
Podengo Pequeno Mix,Hound
English Shepherd,Working
Standard Schnauzer,Working
English Springer Spaniel,Sporting
Greater Swiss Mountain Dog Mix,Working
Miniature Pinscher,Toy
Rat Terrier,Terrier
Soft Coated Wheaten Terrier,Terrier
Affenpinscher Mix,Toy
Bullmastiff Mix,Working
French Bulldog Mix,Non-Sporting
Harrier,Hound
Australian Shepherd,Herding
American Eskimo Mix,Non-Sporting
St. Bernard Rough Coat Mix,Working
Skye Terrier,Terrier
Samoyed Mix,Working
Boxer,Working
Dachshund,Hound
English Cocker Spaniel,Sporting
Greyhound Mix,Hound
Old English Sheepdog,Herding
Miniature Poodle,Toy
English Coonhound,Hound
Tibetan Spaniel,Non-Sporting
English Coonhound Mix,Hound
Doberman Pinsch Mix,Working
Irish Terrier Mix,Terrier
Siberian Husky,Working
Japanese Chin Mix,Toy
Belgian Tervuren Mix,Herding
Siberian Husky Mix,Working
Treeing Walker Coonhound Mix,Hound
Basset Hound Mix,Hound
Silky Terrier,Terrier
German Wirehaired Pointer Mix,Sporting
Chihuahua Shorthair Mix,Toy
Dachshund Mix,Hound
Belgian Malinois,Herding
Mexican Hairless Mix,Non-Sporting
Cane Corso,Working
Smooth Fox Terrier,Terrier
West Highland,Terrier
Pembroke Welsh Corgi Mix,Herding
Canaan Dog Mix,Working
Cavalier Span Mix,Toy
Beagle Mix,Hound
Bulldog Mix,Non-Sporting
Beagle,Hound
Cairn Terrier,Terrier
Boerboel Mix,Working
Finnish Spitz,Non-Sporting
Bloodhound Mix,Hound
Catahoula Mix,Hound
West Highland Mix,Terrier
Toy Fox Terrier Mix,Toy
St. Bernard Smooth Coat Mix,Working
Dalmatian Mix,Non-Sporting
Unknown Mix,Unknown
Kuvasz,Working
Miniature Schnauzer,Terrier
Newfoundland Mix,Working
Cocker Spaniel,Sporting
Shiba Inu,Non-Sporting
Old English Bulldog Mix,Non-Sporting
Akita,Working
German Wirehaired Pointer,Sporting
Swedish Vallhund Mix,Herding
Ibizan Hound Mix,Hound
English Shepherd Mix,Herding
Tan Hound Mix,Hound
Rhod Ridgeback Mix,Hound
Pug Mix,Toy
Field Spaniel Mix,Sporting
Rat Terrier Mix,Terrier
Dachshund Longhair,Hound
Wire Hair Fox Terrier,Terrier
Bull Terrier Miniature Mix,Terrier
Chinese Sharpei,Non-Sporting
Boxer Mix,Working
Dutch Shepherd Mix,Herding
English Bulldog Mix,Non-Sporting
Scottish Terrier Mix,Terrier
Alaskan Husky Mix,Working
Border Collie,Herding
English Foxhound,Hound
Pekingese,Toy
Great Dane Mix,Working
Beauceron,Herding
Bruss Griffon,Toy
Belgian Tervuren,Herding
Redbone Hound Mix,Hound
Schnauzer Giant Mix,Working
St. Bernard Smooth Coat,Working
Smooth Fox Terrier Mix,Terrier
English Foxhound Mix,Hound
Havanese Mix,Toy
Saluki Mix,Hound
Flat Coat Retriever Mix,Sporting
Tan Hound,Hound
American Staffordshire Terrier Mix,Terrier
Otterhound Mix,Hound
Italian Greyhound,Hound
Australian Kelpie Mix,Herding
Whippet,Hound
Affenpinscher,Toy
American Eskimo,Non-Sporting
Dogue De Bordeaux,Working
Catahoula,Hound
Pekingese Mix,Toy
Mastiff,Working
Belgian Sheepdog Mix,Herding
Bernese Mountain Dog Mix,Working
Bluetick Hound,Hound
American Bulldog Mix,Non-Sporting
Standard Poodle Mix,Non-Sporting
Golden Retriever,Sporting
Collie Rough Mix,Herding
Chihuahua Shorthair,Toy
St. Bernard Rough Coat,Working
Alaskan Malamute,Working
Pomeranian Mix,Toy
Dogo Argentino Mix,Working
Pomeranian,Toy
Whippet Mix,Hound
Carolina Dog,Unknown
Afghan Hound Mix,Hound
Havanese,Toy
Staffordshire,Terrier
English Bulldog,Non-Sporting
Schipperke Mix,Non-Sporting
Picardy Sheepdog Mix,Herding
Vizsla,Sporting
Jack Russell Terrier,Terrier
Keeshond,Non-Sporting
Alaskan Malamute Mix,Working
Feist Mix,Terrier
English Setter Mix,Sporting
Collie Rough,Herding
German Shepherd,Herding
Parson Russell Terrier,Terrier
Boykin Span Mix,Sporting
Rottweiler Mix,Working
Newfoundland,Working
Japanese Chin,Toy
Weimaraner,Sporting
German Shorthair Pointer,Sporting
Treeing Cur Mix,Hound
Black Mouth Cur Mix,Hound
Pembroke Welsh Corgi,Herding
Chow Chow Mix,Non-Sporting
Bedlington Terr Mix,Terrier
Vizsla Mix,Sporting
Swiss Hound,Hound
Miniature Schnauzer Mix,Terrier
Belgian Sheepdog,Herding
American Bulldog,Non-Sporting
Bruss Griffon Mix,Toy
Irish Wolfhound Mix,Hound
Landseer Mix,Unknown
Labrador Retriever,Sporting
Collie Smooth,Herding
Flat Coat Retriever,Sporting
English Cocker Spaniel Mix,Sporting
Cardigan Welsh Corgi Mix,Herding
Brittany,Sporting
Bloodhound,Hound
Greyhound,Hound
Dutch Shepherd,Herding
Manchester Terrier Mix,Terrier
Standard Schnauzer Mix,Working
Irish Terrier,Terrier
Standard Poodle,Non-Sporting
Golden Retriever Mix,Sporting
Cardigan Welsh Corgi,Herding
Bull Terrier Mix,Terrier
Anatol Shepherd,Working
Basset Hound,Hound
Pharaoh Hound,Hound
Silky Terrier Mix,Terrier
Norfolk Terrier,Terrier
Lhasa Apso,Non-Sporting
Sealyham Terr Mix,Terrier
Leonberger,Working
Staffordshire Mix,Terrier
Dachshund Longhair Mix,Hound
Soft Coated Wheaten Terrier Mix,Terrier
Rottweiler,Working
Bull Terrier Miniature,Terrier
Airedale Terrier,Terrier
Belgian Malinois Mix,Herding
Nova Scotia Duck Tolling Retriever,Sporting
Shetland Sheepdog Mix,Herding
Chihuahua Longhair,Toy
Miniature Poodle Mix,Toy
Australian Cattle Dog,Herding
Collie Smooth Mix,Herding
Papillon Mix,Toy
Toy Fox Terrier,Toy
Australian Kelpie,Herding
Chihuahua Longhair Mix,Toy
Bullmastiff,Working
Australian Terrier Mix,Terrier
Yorkshire,Toy
English Setter,Sporting
Basenji,Hound
Pit Bull Mix,PittBull
Bichon Frise Mix,Non-Sporting
Dogo Argentino,Working
Boerboel,Working
American Staffordshire Terrier,Terrier
Unknown,Unknown
Welsh Springer Spaniel,Sporting
Harrier Mix,Hound
Cavalier Span,Toy
Australian Cattle Dog Mix,Herding
Shih Tzu Mix,Toy
Neapolitan Mastiff,Working
Queensland Heeler,Herding
Cairn Terrier Mix,Terrier
Dogue De Bordeaux Mix,Working
Shiba Inu Mix,Non-Sporting
Borzoi,Hound
Yorkshire Terrier,Terrier
Labrador Retriever Mix,Sporting
Pointer,Sporting
Shih Tzu,Toy
German Pinscher Mix,Working
Jindo Mix,Hound
Lowchen Mix,Non-Sporting
Boston Terrier,Terrier
Airedale Terrier Mix,Terrier
German Shorthair Pointer Mix,Sporting
Black,Unknown
Chinese Sharpei Mix,Non-Sporting
Beauceron Mix,Herding
Bluetick Hound Mix,Hound
American Foxhound Mix,Hound
Great Pyrenees Mix,Working
Bulldog,Non-Sporting
Leonberger Mix,Working
Patterdale Terr,Terrier
Pug,Toy
Wirehaired Pointing Griffon Mix,Sporting
German Pinscher,Working
Bernese Mountain Dog,Working
Neapolitan Mastiff Mix,Working
Lhasa Apso Mix,Non-Sporting
Akita Mix,Working
Chesa Bay Retr Mix,Sporting
American Pit Bull Terrier,Terrier
Shetland Sheepdog,Herding
Pit Bull,PittBull
Chesa Bay Retr,Sporting
English Pointer Mix,Sporting
Presa Canario Mix,Working
Brittany Mix,Sporting
Plott Hound Mix,Hound
Irish Setter,Sporting
Port Water Dog Mix,Working
Rhod Ridgeback,Hound
Spinone Italiano Mix,Sporting
Canaan Dog,Working
Spanish Mastiff Mix,Working
Bichon Frise,Non-Sporting
Blue Lacy,Working
Weimaraner Mix,Sporting
Cane Corso Mix,Working
Spanish Water Dog,Working
Border Terrier Mix,Terrier
Jack Russell Terrier Mix,Terrier
Redbone Hound,Hound
Toy Poodle,Toy
Entlebucher Mix,Herding
Anatol Shepherd Mix,Working
Blue Lacy Mix,Working
Tibetan Spaniel Mix,Non-Sporting
Bull Terrier,Terrier
German Shepherd Mix,Working
Papillon,Toy
Boston Terrier Mix,Non-Sporting
Welsh Springer Spaniel Mix,Sporting
Keeshond Mix,Non-Sporting
Dachshund Wirehair Mix,Hound
Skye Terrier Mix,Terrier
Alaskan Husky,Working
Maltese,Toy
Italian Greyhound Mix,Hound
Hovawart Mix,Working
Border Terrier,Terrier
Pbgv Mix,Hound
English Springer Spaniel Mix,Sporting
Saluki,Hound
Queensland Heeler Mix,Herding
Finnish Spitz Mix,Non-Sporting
English Pointer,Sporting
Parson Russell Terrier Mix,Terrier
Norwich Terrier Mix,Terrier
Dalmatian,Non-Sporting
Miniature Pinscher Mix,Toy
Norwegian Elkhound Mix,Hound
Ibizan Hound,Hound
Basenji Mix,Hound
Dachshund Wirehair,Hound
Maltese Mix,Toy
Treeing Tennesse Brindle,Hound
Chinese Crested Mix,Toy
Welsh Terrier,Terrier
Carolina Dog Mix,Unknown
Welsh Terrier Mix,Terrier
Mastiff Mix,Working
Manchester Terrier,Terrier
Norwich Terrier,Terrier
Great Dane,Working
American Pit Bull Terrier Mix,Terrier
Doberman Pinsch,Working
Treeing Walker Coonhound,Hound
Toy Poodle Mix,Toy
Great Pyrenees,Working
Boykin Span,Sporting
Cocker Spaniel Mix,Sporting
Pbgv,Hound
French Bulldog,Non-Sporting
Pointer Mix,Sporting
Bearded Collie Mix,Herding
Chow Chow,Non-Sporting
Plott Hound,Hound
Australian Shepherd Mix,Herding
Scottish Terrier,Terrier
Norfolk Terrier Mix,Terrier
Irish Wolfhound,Hound
Black Mouth Cur,Herding
Schnauzer Giant,Working
Tibetan Terrier,Terrier
Pharaoh Hound Mix,Hound
Nova Scotia Duck Tolling Retriever Mix,Sporting
Yorkshire Terrier Mix,Terrier
American Foxhound,Hound
Border Collie Mix,Herding
Chinese Crested,Toy
Schipperke,Non-Sporting
Tibetan Terrier Mix,Terrier
Patterdale Terr Mix,Terrier
Presa Canario,Working
Mexican Hairless,Non-sporting
Kuvasz Mix,Working
Old English Sheepdog Mix,Herding
Eng Toy Spaniel Mix,Toy
Cirneco,Hound
Gordon Setter Mix,Sporting
Dachshund Stan Mix,Hound
Coton De Tulear,Non-Sporting
Jindo,Hound
Coton De Tulear Mix,Non-Sporting
Lowchen,Non-Sporting
Old English Bulldog,Non-Sporting
Samoyed,Working
Bearded Collie,Herding
Picardy Sheepdog,Herding
Greater Swiss Mountain Dog,Working
Treeing Cur,Hound
Feist,Terrier
Dandie Dinmont,Terrier
